id,video_id,old,new
salon-018,wvwrqw0MRfI,/archive/salon-018/,/archive/salon-018-paul-d-miller-aka-dj-spooky-that-subliminal-kid-and-ap/
salon-019,mA3da8lu0iU,/archive/salon-019/,/archive/salon-019-gregory-little-and-lee-musgrave/
salon-020,Hhm4t38sjUA,/archive/salon-020/,/archive/salon-020-victor-acevedo-and-christine-sciulli/
salon-021,CtSAsaLkmtQ,/archive/salon-021/,/archive/salon-021-cynthia-beth-rubin-and-renata-janiszewska/
salon-022,sbMbH55efqM,/archive/salon-022/,/archive/salon-022-lorin-roser-and-nina-kuo-and-emma-anne-johnson/
salon-023,pmau5CDJUiQ,/archive/salon-023/,/archive/salon-023-rebecca-tombaugh-and-cynthia-didonato/
salon-024,fEWi09zryY0,/archive/salon-024/,/archive/salon-024-malavika-mandal-andrew-and-lee-schnaiberg/
salon-025,BbLPmZfJVOs,/archive/salon-025/,/archive/salon-025-lights-gerbarg-stein-hasinoff-bradley-tintin23x/
salon-026,cYU7eKBcCto,/archive/salon-026/,/archive/salon-026-collab-2-exhibition-opening-reception/
salon-027,QrGxzCL_ScA,/archive/salon-027/,/archive/salon-027-davonte-davo-bradley-and-holly-gordon/
salon-028,fFUTukSn4gw,/archive/salon-028/,/archive/salon-028-tommy-mintz-and-stephanie-sydney/
salon-029,ADjcjvSQViE,/archive/salon-029/,/archive/salon-029-techspressionism-2021-opening/
salon-030,t0JhtlP3olQ,/archive/salon-030/,/archive/salon-030-sahar-moussavi-and-skywaterr/
salon-031,7dDowJIxuJw,/archive/salon-031/,/archive/salon-031-cee-moses-niftorian-and-dubwoman/
salon-032,CbqAI1PKEkY,/archive/salon-032/,/archive/salon-032-roz-dimon-lovid-moritz-albrecht-colin-goldberg/
salon-033,dJbRASddqhg,/archive/salon-033/,/archive/salon-033-david-bloom-lindsay-kokoska-nina-sobell/
salon-034,lUmGsX0p78E,/archive/salon-034/,/archive/salon-034-old-school-open-mic-with-robert-dugrenier/
salon-035,b8yrqPIj934,/archive/salon-035/,/archive/salon-035-lily-kostrzewa-prince-magnolia-x-st-rivera-michael/
salon-036,l52RGfTiatE,/archive/salon-036/,/archive/salon-036-seungjin-lee-and-dalton-portella/
salon-037,1hehNivSYTo,/archive/salon-037/,/archive/salon-037-diana-de-avila-and-patrick-lichty/
salon-038,ufGrnsSaMQo,/archive/salon-038/,/archive/salon-038-steve-miller-and-lee-day/
