salon_number,path,ext,size_bytes
,MALAVIKA/malavika_interview_square_IG.psd,psd,10872559
,MALAVIKA/malavika_interview_square_IG_v2.psd,psd,10872658
,MICHAEL/GMT20210406-181518_Recording.m4a,m4a,71109867
,MICHAEL/GMT20210406-181518_Recording_2560x1440.mp4,mp4,642052022
,MICHAEL/GMT20210406-181518_Recording_gallery_2560x1440.mp4,mp4,474838005
,MICHAEL/rees_interview_square_promo.psd,psd,21642275
,NINA/NINA SOBELL INTERVIEW (1).mp4,mp4,1695784541
,NINA/sobell.jpg,jpg,112418
,NINA/sobell_YT.jpg,jpg,228257
,PATRICK/GMT20210217-200859_Techspress.m4a,m4a,56971544
,PATRICK/GMT20210217-200859_Techspress_1760x834.mp4,mp4,269133674
,PATRICK/GMT20210217-200859_Techspress_gallery_1760x834.mp4,mp4,225335268
,PATRICK/lichty_interview.jpg,jpg,264449
,PATRICK/lichty_interview.psd,psd,16107658
,PATRICK/patrick.jpg,jpg,70308
,PAUL/GMT20210609-170504_Recording.m4a,m4a,8515913
,PAUL/GMT20210609-170504_Recording_640x360.mp4,mp4,29673311
,PAUL/GMT20210609-170504_Recording_gallery_1280x720.mp4,mp4,35647402
,PAUL/GMT20210609-171443_Recording.m4a,m4a,33380046
,PAUL/GMT20210609-171443_Recording_1686x950.mp4,mp4,403751901
,PAUL/paul_colin_interview.jpg,jpg,76542
,PAUL/paul_interview_square.psd,psd,16447283
,PAUL/paul_miller_interview_060921.mp4,mp4,217689498
,RANDI/Randi Matushevitz interviewed by Roz Dimon_ Techspressionist Artist Interview Series #16.mp4,mp4,188198904
,RANDI/randi.jpg,jpg,95609
,RANDI/randi_interview.psd,psd,95609
,RANDI/randi_interview_square.psd,psd,9129470
,RENATA/Renata Janiszewska interviewed by Michael Pierre Price.mp4,mp4,365662518
,RENATA/Renata_Janiszewska_square.psd,psd,38185534
,RENATA/renata.jpg,jpg,107260
,RENATA/renata.psd,psd,4220671
,ROZ/Roz Dimon interviewed by Michael Pierre Price_ Techspressionist Artist Interview Series #4.mp4,mp4,215153193
,ROZ/dimon_interview.png,png,1388144
,ROZ/dimon_interview.psd,psd,16811464
,SASHA/Adobe Premiere Pro Auto-Save/sasha--27df5616-238a-082c-a992-638657554730-2025-05-06_12-39-32.prproj,prproj,6364
,SASHA/Adobe Premiere Pro Auto-Save/sasha--27df5616-238a-082c-a992-638657554730-2025-05-06_14-38-54.prproj,prproj,13614
,SASHA/Adobe Premiere Pro Auto-Save/sasha--27df5616-238a-082c-a992-638657554730-2025-05-06_14-59-43.prproj,prproj,23199
,SASHA/GMT20250506-140813_Recording.m4a,m4a,75666130
,SASHA/GMT20250506-140813_Recording.transcript.vtt,vtt,90661
,SASHA/GMT20250506-140813_Recording_1350x804.mp4,mp4,599876326
,SASHA/GMT20250506-140813_Recording_gallery_1350x804.mp4,mp4,358758109
,SASHA/sasha.jpg,jpg,478668
,SASHA/sasha.prproj,prproj,23198
,SASHA/sasha.psd,psd,38005711
,SASHA/sasha_stiles_techspressionism_interview.mp4,mp4,5361000091
,STEVE/Steve Miller interviewed by Roz Dimon_ Techspressionist Artist Interview Series #8.mp4,mp4,309561034
,STEVE/miller_interview.jpg,jpg,292311
