Top queries,Clicks,Impressions,CTR,Position
conrad anker children,0,5,0%,3.8
every woman biennial,0,5,0%,4.8
loop art critique,0,5,0%,6.4
newfangledism,0,5,0%,6.4
ply300,0,5,0%,8
sasha style,0,5,0%,9.2
chalda maloff,0,5,0%,10.2
mariniana,0,5,0%,12.2
susanne anker,0,5,0%,16.2
ts shop,0,5,0%,19.2
nina yankowitz,0,5,0%,21.4
kluneberg painting,0,5,0%,23
djspooky,0,5,0%,26.2
technofetishism,0,5,0%,29
kluneberg,0,5,0%,34.8
techno fetishism,0,5,0%,47.4
dan welden,0,5,0%,59
digital art gallery los angeles,0,4,0%,1
peter borges,0,4,0%,1
hellen harrison,0,4,0%,1.5
hello uz com,0,4,0%,5.25
claudia hart smu,0,4,0%,7.25
"""pollock-krasner house"" latitude longitude",0,4,0%,7.5
salon91,0,4,0%,9
colin golberg,0,4,0%,12
dalton portella,0,4,0%,12.5
manifesto tech,0,4,0%,15.5
wrong side of the art,0,4,0%,18
salon art + design,0,4,0%,18.5
salon70,0,4,0%,22.75
digital reinterpretation of abstract expressionism,0,4,0%,24.25
techstylesart,0,4,0%,27
cynthia rubin,0,4,0%,27.25
uzbekistan artwork,0,4,0%,30.75
technology salon,0,4,0%,32.75
michael rees,0,4,0%,35.5
waveism,0,4,0%,37
you are not a gadget a manifesto,0,4,0%,40.25
pixels &amp; paintings: foundations of computer-assisted connoisseurship,0,4,0%,44.75
hudson guild chelsea,0,4,0%,55.25
gagosian chelsea,0,4,0%,59
technographies,0,4,0%,59.75
tezh modarressi,0,4,0%,70.5
manuel sainsily,0,4,0%,73.75
spectacle #23 pdf,0,4,0%,90.75
"artist interview ""march 1, 2021""",0,3,0%,2
gillette interview,0,3,0%,2
van rosen,0,3,0%,2
tommy mintz,0,3,0%,2.67
tshop.life,0,3,0%,3.33
lorins bather by,0,3,0%,4
expressionism digital art,0,3,0%,4.67
lucie králíková,0,3,0%,4.67
tshop life,0,3,0%,5
moma poet-in-residence ncte 2018,0,3,0%,5.33
artist gillette,0,3,0%,5.67
"[""hypnotic pop fusion artist computer engineer"", ""march 1 2014 concert 
25000 people"", ""interview october 17 2013 five words sound food""]",0,3,0%,6
hello-uz. com,0,3,0%,6.33
"""heidi boisvert"" ""i bought""",0,3,0%,7
gray uzbekistan,0,3,0%,8
artist eclectic style social media dangerous interview november 2019,0,3,0%,9.33
where to find video interviews with emerging artists?,0,3,0%,10
intra art,0,3,0%,10.67
klogoldberg,0,3,0%,12.67
chelsea mehra,0,3,0%,21.33
hogkins web design,0,3,0%,28.67
graphism,0,3,0%,30
christiane paul digital art,0,3,0%,37
sxsha (file or mega or link or grab or cloud or view or watch),0,3,0%,37
skarstedt gallery chelsea,0,3,0%,37.33
daylight objections chelsea,0,3,0%,42
hauser and wirth chelsea,0,3,0%,47
technoromanticism,0,3,0%,58
afrooz partovi,0,3,0%,63.67
los angeles contemporary artist studio visit gallery interview,0,3,0%,65.33
helen mayer harrison,0,3,0%,76
artivism dc,0,2,0%,1
netressioniste,0,2,0%,1
paul miller,0,2,0%,1
"""michael pierre""",0,2,0%,1.5
gillette collage,0,2,0%,2
"interview ""march 1, 2021"" artist",0,2,0%,2
"""how technology frees musician eric ventimiglia"" ""artwork by""",0,2,0%,3
salon26,0,2,0%,3.5
"frontline of the revolt in the industry publication described artist 
frontline of the revolt multilingual lyricism humanness interview",0,2,0%,4
hello hello chelsea,0,2,0%,4
systeme,0,2,0%,4.5
carol hunt artist,0,2,0%,5
salon 95,0,2,0%,5.5
salon xxviii,0,2,0%,5.5
hello uz.com,0,2,0%,6.5
"""heidi boisvert"" bought",0,2,0%,7
"""say what is on my mind"" humanness multilingual lyricism interview artist",0,2,0%,7
sasha stiles art,0,2,0%,7
salon mic,0,2,0%,8
fight club tyler durden subliminal flashes timestamps list exact,0,2,0%,9
artist interview november 2019 social media dangerous eclectic style,0,2,0%,9.5
salon106,0,2,0%,9.5
"""september 22, 2020"" ""artist interview""",0,2,0%,10
salon sahar,0,2,0%,10
sciulli,0,2,0%,10
seungjin lee,0,2,0%,10
renata artist,0,2,0%,11
salon30,0,2,0%,11
technomaterialism,0,2,0%,11
pioneering technological artistry,0,2,0%,12
uzbekistan artist,0,2,0%,12
claudia goldberg,0,2,0%,14
lucy mandal,0,2,0%,14
как включить субтитры в зуме,0,2,0%,14
oceana andries,0,2,0%,15
davonte holly,0,2,0%,16
brooklyn immersionists,0,2,0%,18
cocollaborations hudson,0,2,0%,18
a living poem,0,2,0%,19.5
loop gallery,0,2,0%,21.5
uzbekistan exhibition,0,2,0%,23
techno is art sion,0,2,0%,24
t shop online,0,2,0%,25
uzbekistan artists,0,2,0%,27
colin hart,0,2,0%,28.5
technicongres,0,2,0%,29
dj paul 3d models,0,2,0%,30.5
michael reese artist,0,2,0%,31
michael spalter,0,2,0%,32
rogue space chelsea gallery,0,2,0%,32.5
susan huang,0,2,0%,34.5
techno humanist manifesto,0,2,0%,36.5
tech artista,0,2,0%,37.5
gregory little,0,2,0%,38.5
tshopper,0,2,0%,38.5
"""adios from everywhere""",0,2,0%,39.5
how to say hello in uzbekistan,0,2,0%,42
interviews with artists,0,2,0%,43.5
sue huang,0,2,0%,43.5
tony skeor,0,2,0%,44.5
digital art christiane paul,0,2,0%,47
michael a rees,0,2,0%,47
stephen lichty,0,2,0%,47
sobell,0,2,0%,50
rsvp salon,0,2,0%,53.5
dj spooky rebirth of a nation,0,2,0%,54
the virtual window from alberti to microsoft,0,2,0%,54.5
art as device,0,2,0%,56
techanism,0,2,0%,56
tatev hovhannisyan ux,0,2,0%,57
d j spooky,0,2,0%,59.5
kathryn hart,0,2,0%,59.5
technical artistry,0,2,0%,59.5
rebecca boisvert,0,2,0%,60
technology like art is a soaring exercise of the human imagination,0,2,0%,60
represents an innovative intersection of progaminglounge.com technology,0,2,0%,61
cristiano grim,0,2,0%,64.5
shklovsky art as device,0,2,0%,75
salon multimedia,0,2,0%,77
trey steidle,0,2,0%,79
list of julia stiles movies,0,2,0%,89
"real-time human–machine artistic collaboration generation driven by 
non-explicit usage needs triggered by multimodal behaviors",0,2,0%,99
20th century american artists,0,1,0%,1
lorin stein,0,1,0%,1
new york 1920x1080,0,1,0%,1
