artist,link type,link no longer shown,why,link shown now
cari ann shim sham,website,https://www.cariannshimsham.com/,artist is not in the artist index,https://warpcast.com/cariannshimsham
iKatch,website,https://www.ikatch.net/,the index link is broken/parked: https://www.ikatch.net/,
nessi alexander-barnes,website,http://apocryphabulous.com/,the index link is broken/parked: http://apocryphabulous.com/,
nessi alexander-barnes,instagram,https://www.instagram.com/apocryphabulous/,the index link is broken/parked: https://www.instagram.com/apocryphabulous/,
werpi279,website,https://pierstefanobellani.com/,the index link is broken/parked: https://pierstefanobellani.com/,
Andy Thomas,website,https://www.andythomas.com.au/,a second link of this type,https://www.andythomas.com.au
Ann Shapiro,website,https://www.cariannshimsham.com/,a second link of this type,https://www.annrshapiro.com/
Cynthia Beth Rubin,website,https://cbrubin.net/,a second link of this type,https://www.cbrubin.com/
David Guerrero,website,https://davidguerrero.art/,a second link of this type,
Erin Ko,website,https://linktr.ee/ErinKo,a second link of this type,https://www.erinkostudios.com/
Hayede Jamshidi,instagram,https://www.instagram.com/haydi.graph/,a second link of this type,https://www.instagram.com/haydiii.iii/
Jacque Rosenau,website,https://JRosenauStudio.com,a second link of this type,https://www.jacquerosenau.com
Joey Zaza,website,https://warpcast.com/joeyzaza | https://www.fxhash.xyz/u/joey%20zaza,a second link of this type,http://www.digitalzaza.com
LoVid,website,https://postmastersblockchain.com/artists/lovid/,a second link of this type,http://lovid.org/
Lucy Boyd-Wilson,website,https://www.lucyboydwilson.com/,a second link of this type,https://www.lucyboydwilson.com
Malavika Mandal Andrew,website,https://www.guillermoarismendi.com/,a second link of this type,https://www.malavikamandalandrew.com/
Malavika Mandal Andrew,instagram,https://www.instagram.com/guillermo_arismendi/,a second link of this type,https://instagram.com/malavikamandal
Michael Pierre Price,website,https://kalamint.io/user/prince_magnolia,a second link of this type,https://www.michaelpierreprice.com/
Nina Sobell,website,https://sarahsong.site/,a second link of this type,http://www.ninasobell.com
Nina Sobell,instagram,https://www.instagram.com/sarahsxr/,a second link of this type,https://www.instagram.com/nina_sobell/
Reese Schroeder,instagram,https://www.instagram.com/reese_liquidoranges/,a second link of this type,https://www.instagram.com/reese_schroeder_artist
ST Rivera,instagram,https://www.instagram.com/_nightshining/,a second link of this type,https://www.instagram.com/__st_rivera__/
Samantha Billig,website,https://www.samnicoleart.com,a second link of this type,
Sue Beyer,website,https://www.suebeyer.com.au/,a second link of this type,https://www.suebeyer.com.au
